name,kind,latitude,longitude,operator,beds,emergency,speciality
"Raj General Hospital and Diagnostic Centre, Naogaon",hospital,24.824501370844,88.9304120540986,,,,
Sodesh Hospital Pvt. Ltd.,hospital,24.7545245492858,90.40283759908,,,,
Tarakandi Community Clinic,clinic,24.6867792418094,89.821883447715,,,,
"A. R General Hospital, Hospital",hospital,25.9310300202114,88.8508155737251,,,,
Spondon Pharmacy,pharmacy,23.6046492229327,89.8364821246533,,,,
Dhaka Sergical,pharmacy,25.7627226617727,89.2348019574922,,,,
Barisal Medical Hall,pharmacy,23.815320396391,90.366555357727,,,,
"Naim Medical Hall, Fakirhat",clinic,22.77514507184,89.7098282987592,,,,
Redwan Medicine,pharmacy,23.7725371509366,90.3493645772323,,,,
Ar Rafiyu General Hospital,clinic,23.7696423768566,90.3666757218566,,,,
Saik General Hospital,hospital,24.8313590249255,89.376652760573,,,,
Bismillah Pharmacy,pharmacy,23.7558743465228,90.4073787465813,,,,
"Midpoint Hospital and Maternity Center Ltd., Midpoint Hospital, Pathantuli Rd, Chattogram",hospital,22.3333896893918,91.8167759839163,,,,
Munna Drug House,pharmacy,23.7563039190605,90.4073679339263,,,,
Bismillah Pharmacy বিসমিল্লাহ ফার্মেসী,pharmacy,23.6163897547079,90.4792673964345,,,,
Bhuyan Dental Care,clinic,24.2627144527421,89.9236821646716,,,,
Haydar Pharmacy,pharmacy,23.7325213584531,90.4151392992726,,,,
"Nurul Amin Eye Hospital, Hospital",hospital,24.4091408529463,90.3859293725413,,,,
Rainbow Dental,dentist,23.8246338642832,90.3646734528265,,,,
Bhola Pharmacy,pharmacy,23.7834125864852,90.3556333187967,,,,
Mother Teresa diagnostic,clinic,22.722392223113,89.0699012559603,,,,
Medicare Diagnostic center,clinic,24.2048061468302,89.0025009476185,,,,
Ashkona Medical Center,hospital,23.8548228811242,90.4154492620519,,,,
Popular Diagnostic ComplexAnd Hospital Pvt,hospital,24.9472197255601,90.3640856299569,,,,
Need Lab,pharmacy,25.7628142759744,89.2346479819309,,,,
popular hospital,hospital,23.739211290652,90.3824482843343,,,yes,
"Punom Nursing Home, Hospital",hospital,24.9264091363609,89.9481969683402,,,,
Delta Dagonestics Center,clinic,25.7620613296123,89.2351125908237,,,,
"Al-Hakim eye hospital and Phaco Center, Hospital, Haque Plaza, Dhaka",hospital,23.7070105332303,90.4345124758966,,,,
Friends Dental Care,dentist,23.7901492897038,90.3880088388996,,,,
Femous Health Care,clinic,23.5537518761112,90.5269529655979,,,,
"Islam Pharmacy, Pharmacy",pharmacy,23.9132552236226,90.3185689620586,,,,
"Mohadevpur Thana Health Complex, Mohadevpur Main Rd, Mohadevpur, Naogaon",hospital,24.9222356191327,88.7519455775565,,,,
"বারুহাস,কমিউনিটি হাসপাতাল",hospital,24.4698224791613,89.2880815250146,,,,
Raj Dental Care,dentist,23.7591309673628,90.373348554973,,,,
Saleha Drug House,pharmacy,23.3591435304376,88.9147863425645,,,,
Bissonath Pharmacy,pharmacy,24.9119395407315,91.8515624746479,,,,
Shah sultan poultry,pharmacy,22.9476495844738,91.4814736216188,,,,
